residue,imf1,imf2,imf3,imf4,imf5,imf6,imf7,imf8
-0.014129168,-0.018555053,0.016733158,0.071374275,-0.031064452,0.085163675,0.033051959,0.014666415,0.017681413
-0.014132275,-0.018409194,0.016986081,0.070513796,-0.030350952,0.085020985,0.032965470,0.014649939,0.017678371
-0.014135384,-0.018035726,0.017099314,0.069519431,-0.029570626,0.084858652,0.032877903,0.014633347,0.017675311
-0.014138494,-0.017410079,0.017048888,0.068392647,-0.028725702,0.084676825,0.032789265,0.014616640,0.017672232
-0.014141605,-0.016507680,0.016810831,0.067134910,-0.027818403,0.084475655,0.032699562,0.014599817,0.017669135
-0.014144717,-0.015303959,0.016361174,0.065747690,-0.026850956,0.084255292,0.032608800,0.014582880,0.017666019
-0.014147831,-0.013774344,0.015675945,0.064232452,-0.025825585,0.084015886,0.032516985,0.014565828,0.017662885
-0.014150946,-0.011894263,0.014731175,0.062590664,-0.024744515,0.083757588,0.032424124,0.014548662,0.017659733
-0.014154062,0.015360854,0.013502893,0.060823794,-0.023609972,0.083480548,0.032330224,0.014531382,0.017656563
-0.014157180,0.004744115,0.010238593,0.058933308,-0.022424181,0.083184915,0.032235290,0.014513988,0.017653374
-0.014160299,-0.000577237,0.006771632,0.056920675,-0.021189368,0.082870841,0.032139329,0.014496481,0.017650168
-0.014163419,-0.000707421,0.003206831,0.054787361,-0.019907756,0.082538476,0.032042347,0.014478861,0.017646942
-0.014166540,-0.005750657,-0.000350989,0.052534834,-0.018581573,0.082187970,0.031944351,0.014461128,0.017643699
-0.014169663,0.005100035,-0.004708208,0.050164560,-0.017213042,0.081819473,0.031845347,0.014443283,0.017640438
-0.014172787,0.003935441,-0.006955011,0.047678009,-0.015804389,0.081433135,0.031745341,0.014425326,0.017637158
-0.014175912,-0.007686456,-0.008648780,0.045076646,-0.014357840,0.081029107,0.031644340,0.014407257,0.017633860
-0.014179039,-0.009943675,-0.009610894,0.042361939,-0.012875619,0.080607540,0.031542350,0.014389077,0.017630544
-0.014182167,-0.013014234,-0.009662736,0.039535356,-0.011359953,0.080168582,0.031439378,0.014370786,0.017627210
-0.014185296,0.001977737,-0.006676102,0.035594892,-0.009813065,0.079712385,0.031335429,0.014352384,0.017623858
-0.014188426,0.016123664,-0.002751556,0.031551754,-0.008237181,0.079239099,0.031230510,0.014333872,0.017620487
-0.014191558,-0.006187898,0.002716679,0.027413676,-0.006634527,0.078748874,0.031124628,0.014315249,0.017617099
-0.014194691,-0.013595431,0.008361419,0.023188395,-0.005007327,0.078241860,0.031017789,0.014296517,0.017613692
-0.014197825,-0.025494175,0.013572237,0.018883643,-0.003357808,0.077718208,0.030909999,0.014277675,0.017610268
-0.014200961,-0.014964391,0.017161847,0.013769038,-0.001688193,0.077178068,0.030801265,0.014258724,0.017606825
-0.014204098,0.012030720,0.019349473,0.008590624,-0.000000709,0.076621591,0.030691592,0.014239664,0.017603364
-0.014207236,0.035842937,0.019777481,0.003356325,0.001702420,0.076048925,0.030580988,0.014220496,0.017599886
-0.014210375,0.026977197,0.012935075,-0.001925932,0.003418968,0.075460223,0.030469459,0.014201219,0.017596389
-0.014213516,0.004551080,0.004698818,-0.007248222,0.005146709,0.074855633,0.030357010,0.014181835,0.017592874
-0.014216658,0.002835325,-0.004207885,-0.012602621,0.006883420,0.074235307,0.030243649,0.014162343,0.017589342
-0.014219801,-0.013899330,-0.013061629,-0.017981203,0.008626874,0.073599394,0.030129382,0.014142744,0.017585791
-0.014222946,0.008681716,-0.021202873,-0.023376042,0.010374847,0.072948046,0.030014215,0.014123037,0.017582223
