# ECG signal · 250 Hz · 4 seconds · 1000 samples
# Synthetic · modelled on MIT-BIH Arrhythmia Database (PhysioNet)
# Goldberger et al. (2000) Circulation 101(23):e215. https://physionet.org/content/mitdb/
# McSharry et al. (2003) IEEE Trans Biomed Eng 50(3):289. doi:10.1109/TBME.2003.808805
# Events: 5 normal sinus beats + 1 PVC (beat 4) + baseline wander + 50 Hz artifact
time_s,signal_mV
0.0,0.107364
0.004,0.102462
0.008,0.07403
0.012,0.080684
0.016,0.045264
0.02,0.109715
0.024,0.123992
0.028,0.158645
0.032,0.056024
0.036,0.051438
0.04,0.119659
0.044,0.097772
0.048,0.105583
0.052,0.058332
0.056,0.076518
0.06,0.08458
0.064,0.139861
0.068,0.110585
0.072,0.057951
0.076,0.068851
0.08,0.136452
0.084,0.120178
0.088,0.118937
0.092,0.045215
0.096,0.065096
0.1,0.097309
0.104,0.151809
0.108,0.180952
0.112,0.092471
0.116,0.129169
0.12,0.127485
0.124,0.159973
0.128,0.161899
0.132,0.135172
0.136,0.127412
0.14,0.198441
0.144,0.232306
0.148,0.219243
0.152,0.235289
0.156,0.139603
0.16,0.205478
0.164,0.219909
0.168,0.248915
0.172,0.208337
0.176,0.174532
0.18,0.201219
0.184,0.229324
0.188,0.185466
0.192,0.20842
0.196,0.153769
0.2,0.196346
0.204,0.219679
0.208,0.163829
0.212,0.147628
0.216,0.093299
0.22,0.125029
0.224,0.131172
0.228,0.218434
0.232,0.1103
0.236,0.122189
0.24,0.133906
0.244,0.102809
0.248,0.145965
0.252,0.106775
0.256,0.049963
0.26,0.14496
0.264,0.162211
0.268,0.136172
0.272,0.075297
0.276,0.075201
0.28,0.080337
0.284,0.15349
0.288,0.090829
0.292,0.069942
0.296,-0.008257
0.3,0.087851
0.304,0.092634
0.308,0.049943
0.312,0.082116
0.316,0.091051
0.32,0.243915
0.324,0.423779
0.328,0.538464
0.332,0.726276
0.336,0.967899
0.34,1.239018
0.344,1.428408
0.348,1.525995
0.352,1.431385
0.356,1.350524
0.36,1.245923
0.364,1.031101
0.368,0.768942
0.372,0.457069
0.376,0.24286
0.38,0.123087
0.384,0.049445
0.388,-0.006287
0.392,-0.076879
0.396,-0.113104
0.4,-0.085423
0.404,0.02614
0.408,0.041191
0.412,0.025544
0.416,0.053514
0.42,0.123708
0.424,0.130919
0.428,0.201124
0.432,0.195281
0.436,0.166568
0.44,0.180695
0.444,0.270883
0.448,0.235478
0.452,0.179821
0.456,0.166214
0.46,0.270121
0.464,0.284291
0.468,0.25753
0.472,0.249324
0.476,0.25436
0.48,0.248838
0.484,0.355594
0.488,0.364481
0.492,0.35277
0.496,0.320784
0.5,0.378855
0.504,0.40218
0.508,0.424605
0.512,0.382642
0.516,0.345745
0.52,0.413791
0.524,0.471058
0.528,0.370393
0.532,0.341202
0.536,0.362724
0.54,0.389672
0.544,0.450033
0.548,0.416901
0.552,0.345156
0.556,0.338885
0.56,0.354683
0.564,0.365916
0.568,0.391228
0.572,0.342254
0.576,0.262639
0.58,0.28598
0.584,0.358498
0.588,0.328198
0.592,0.248559
0.596,0.213729
0.6,0.270136
0.604,0.27643
0.608,0.213229
0.612,0.223649
0.616,0.168726
0.62,0.19593
0.624,0.207577
0.628,0.224334
0.632,0.147092
0.636,0.113136
0.64,0.160139
0.644,0.187376
0.648,0.177172
0.652,0.097445
0.656,0.091851
0.66,0.147877
0.664,0.183394
0.668,0.140329
0.672,0.072996
0.676,0.070578
0.68,0.118092
0.684,0.150484
0.688,0.131137
0.692,0.035156
0.696,0.060008
0.7,0.079796
0.704,0.111221
0.708,0.115843
0.712,0.158336
0.716,0.05802
0.72,0.091433
0.724,0.170202
0.728,0.111963
0.732,0.097229
0.736,0.053812
0.74,0.065443
0.744,0.125492
0.748,0.075382
0.752,0.068474
0.756,0.048784
0.76,0.057715
0.764,0.109475
0.768,0.088613
0.772,0.047027
0.776,0.061594
0.78,0.116706
0.784,0.13745
0.788,0.058887
0.792,0.054347
0.796,0.051524
0.8,0.092378
0.804,0.170664
0.808,0.069702
0.812,0.076286
0.816,0.025581
0.82,0.070779
0.824,0.124271
0.828,0.13092
0.832,0.06269
0.836,-0.002021
0.84,0.127521
0.844,0.147181
0.848,0.128884
0.852,0.067016
0.856,0.064323
0.86,0.103556
0.864,0.1077
0.868,0.081461
0.872,0.03972
0.876,0.038928
0.88,0.075477
0.884,0.08818
0.888,0.082945
0.892,0.050939
0.896,0.028626
0.9,0.063771
0.904,0.139121
0.908,0.094972
0.912,0.085765
0.916,0.024568
0.92,0.109531
0.924,0.172583
0.928,0.129657
0.932,0.10092
0.936,0.128478
0.94,0.141499
0.944,0.201031
0.948,0.180815
0.952,0.119817
0.956,0.141655
0.96,0.20764
0.964,0.200785
0.968,0.219907
0.972,0.175717
0.976,0.160171
0.98,0.137324
0.984,0.157603
0.988,0.127848
0.992,0.075401
0.996,0.074496
1.0,0.109106
1.004,0.159441
1.008,0.161747
1.012,0.001193
1.016,0.045988
1.02,0.08112
1.024,0.108564
1.028,0.090173
1.032,0.075904
1.036,-0.007533
1.04,0.05711
1.044,0.089224
1.048,0.033205
1.052,0.035472
1.056,0.020356
1.06,0.09361
1.064,0.061463
1.068,0.056586
1.072,0.03192
1.076,-0.018277
1.08,0.038077
1.084,0.049968
1.088,0.08683
1.092,-0.036906
1.096,-0.081974
1.1,-0.053725
1.104,-0.000801
1.108,0.040619
1.112,-0.008773
1.116,0.018678
1.12,0.207754
1.124,0.396617
1.128,0.535587
1.132,0.73691
1.136,0.981937
1.14,1.216302
1.144,1.390806
1.148,1.413953
1.152,1.386102
1.156,1.208862
1.16,1.04704
1.164,0.852171
1.168,0.554925
1.172,0.352371
1.176,0.0642
1.18,-0.030315
1.184,-0.103665
1.188,-0.150311
1.192,-0.212045
1.196,-0.232039
1.2,-0.182019
1.204,-0.103829
1.208,-0.061351
1.212,-0.064402
1.216,-0.015154
1.22,0.04969
1.224,0.074444
1.228,0.080731
1.232,0.029885
1.236,0.023965
1.24,0.108168
1.244,0.129338
1.248,0.163741
1.252,0.075932
1.256,0.070388
1.26,0.139264
1.264,0.160097
1.268,0.158379
1.272,0.105782
1.276,0.174913
1.28,0.172092
1.284,0.217211
1.288,0.186977
1.292,0.225214
1.296,0.175613
1.3,0.233399
1.304,0.262902
1.308,0.272173
1.312,0.201055
1.316,0.238355
1.32,0.257804
1.324,0.279774
1.328,0.302533
1.332,0.24652
1.336,0.23095
1.34,0.29381
1.344,0.202595
1.348,0.256456
1.352,0.196347
1.356,0.163811
1.36,0.230897
1.364,0.226372
1.368,0.232989
1.372,0.121338
1.376,0.144962
1.38,0.164269
1.384,0.158424
1.388,0.130237
1.392,0.115376
1.396,0.053346
1.4,0.077043
1.404,0.137636
1.408,0.027837
1.412,0.027543
1.416,0.055895
1.42,0.017774
1.424,0.06804
1.428,0.034461
1.432,-0.015067
1.436,-0.056982
1.44,-0.003223
1.444,0.007447
1.448,0.029773
1.452,-0.065214
1.456,-0.051872
1.46,-0.044596
1.464,0.040025
1.468,-0.029975
1.472,-0.076855
1.476,-0.044558
1.48,-0.079144
1.484,-0.011692
1.488,-0.049529
1.492,-0.104078
1.496,-0.10371
1.5,-0.048517
1.504,0.007542
1.508,-0.043
1.512,-0.030239
1.516,-0.09473
1.52,-0.1049
1.524,0.000481
1.528,-0.034987
1.532,-0.062537
1.536,-0.116067
1.54,-0.084071
1.544,-0.006024
1.548,-0.041586
1.552,-0.109892
1.556,-0.114961
1.56,-0.059285
1.564,-0.020351
1.568,-0.015236
1.572,-0.080888
1.576,-0.120575
1.58,-0.045524
1.584,-0.016243
1.588,-0.064921
1.592,-0.12326
1.596,-0.125925
1.6,-0.089714
1.604,-0.034861
1.608,-0.035658
1.612,-0.105865
1.616,-0.127953
1.62,-0.068665
1.624,-0.045954
1.628,-0.120421
1.632,-0.086381
1.636,-0.131162
1.64,-0.108995
1.644,-0.061267
1.648,-0.046337
1.652,-0.076713
1.656,-0.134814
1.66,-0.070295
1.664,-0.037332
1.668,-0.074966
1.672,-0.106384
1.676,-0.108787
1.68,-0.121787
1.684,-0.032732
1.688,-0.072727
1.692,-0.135285
1.696,-0.12242
1.7,-0.049953
1.704,-0.006155
1.708,-0.059559
1.712,-0.119656
1.716,-0.070821
1.72,0.01033
1.724,0.00647
1.728,0.046648
1.732,-0.075485
1.736,-0.035569
1.74,0.036437
1.744,0.049152
1.748,-0.001601
1.752,-0.033222
1.756,-0.038206
1.76,0.041748
1.764,0.018119
1.768,0.033271
1.772,-0.047593
1.776,-0.048408
1.78,-0.022146
1.784,-0.028144
1.788,-0.016723
1.792,-0.120998
1.796,-0.072215
1.8,-0.055059
1.804,-0.051519
1.808,-0.074933
1.812,-0.114414
1.816,-0.117688
1.82,-0.07582
1.824,-0.06924
1.828,-0.105979
1.832,-0.110322
1.836,-0.14375
1.84,-0.074926
1.844,-0.042045
1.848,-0.060704
1.852,-0.133307
1.856,-0.163603
1.86,-0.112112
1.864,-0.049126
1.868,-0.092327
1.872,-0.148724
1.876,-0.161094
1.88,-0.157918
1.884,-0.13021
1.888,-0.235647
1.892,-0.222029
1.896,-0.21309
1.9,-0.081062
1.904,0.046655
1.908,0.218807
1.912,0.327378
1.916,0.546784
1.92,0.79075
1.924,1.003584
1.928,1.241884
1.932,1.204729
1.936,1.266747
1.94,1.113455
1.944,1.013794
1.948,0.756688
1.952,0.47452
1.956,0.235968
1.96,0.016282
1.964,-0.073324
1.968,-0.240873
1.972,-0.31683
1.976,-0.384883
1.98,-0.294705
1.984,-0.287066
1.988,-0.202011
1.992,-0.253459
1.996,-0.22854
2.0,-0.117015
2.004,-0.076463
2.008,-0.118001
2.012,-0.097311
2.016,-0.095763
2.02,-0.063037
2.024,0.030552
2.028,0.039829
2.032,-0.017613
2.036,-0.036502
2.04,0.015781
2.044,0.060666
2.048,0.020829
2.052,0.048961
2.056,-0.016652
2.06,0.033828
2.064,0.085445
2.068,0.048076
2.072,0.073556
2.076,0.074045
