# S&P 500 synthetic price index · 502 daily samples
# Nugent C (2018) S&P 500 stock data. Kaggle. https://www.kaggle.com/datasets/camnugent/sandp500
"# GARCH(1,1) model · crash morphology from 2020 COVID-19 dislocation (Feb-Apr 2020)"
# Phases: bull (d0-200) | crash -34% (d200-222) | recovery (d222-350) | new highs (d350-502)
trading_day,price_index
0,3175.5861
1,3238.7909
2,3147.9919
3,3158.6088
4,3071.8367
5,3072.2372
6,3155.2147
7,3199.691
8,3198.5649
9,3239.6969
10,3200.0911
11,3188.8772
12,3102.9088
13,3086.2538
14,3042.98
15,2982.0018
16,2905.5413
17,2834.3807
18,2789.9107
19,2885.906
20,2808.2961
21,2882.1716
22,2848.8809
23,2830.4643
24,2790.0277
25,2711.6109
26,2669.2234
27,2661.5569
28,2636.3922
29,2629.2495
30,2632.3791
31,2609.7628
32,2614.8322
33,2625.8556
34,2613.4107
35,2566.6466
36,2542.548
37,2532.2141
38,2498.5632
39,2480.977
40,2505.2307
41,2499.0082
42,2484.3904
43,2523.3917
44,2541.3058
45,2516.116
46,2522.7777
47,2526.6193
48,2501.6315
49,2530.6753
50,2544.7858
51,2552.6135
52,2530.5713
53,2560.0273
54,2601.9932
55,2594.634
56,2584.1443
57,2615.6507
58,2642.653
59,2614.9418
60,2656.2947
61,2661.0618
62,2671.888
63,2664.2252
64,2661.0194
65,2702.6579
66,2737.6009
67,2732.807
68,2764.5213
69,2810.9549
70,2789.8763
71,2820.9872
72,2809.5275
73,2798.0491
74,2818.004
75,2819.1331
76,2819.1437
77,2799.7951
78,2840.0225
79,2845.4914
80,2862.4862
81,2843.4098
82,2825.3279
83,2798.1222
84,2804.8456
85,2825.641
86,2831.8806
87,2782.352
88,2746.3679
89,2719.6421
90,2680.6978
91,2722.1165
92,2708.597
93,2723.4894
94,2702.6337
95,2736.2735
96,2745.5681
97,2752.689
98,2721.5281
99,2722.9153
100,2696.2716
101,2689.7537
102,2690.4905
103,2681.2153
104,2705.1132
105,2707.557
106,2712.9009
107,2746.652
108,2757.4811
109,2782.7966
110,2771.241
111,2789.8256
112,2750.8861
113,2727.6809
114,2723.279
115,2737.1463
116,2756.9318
117,2770.0804
118,2757.2391
119,2793.0385
120,2807.8277
121,2781.2219
122,2823.0306
123,2843.0807
124,2869.759
125,2898.376
126,2895.4561
127,2858.7225
128,2824.7203
129,2835.9465
130,2822.6483
131,2834.6724
132,2835.451
133,2861.5196
134,2857.253
135,2865.6601
136,2854.6402
137,2866.7524
138,2885.7932
139,2913.1601
140,2881.5194
141,2892.3329
142,2913.9647
143,2923.1146
144,2921.8941
145,2894.5054
146,2903.3882
147,2907.8103
148,2884.9412
149,2896.8173
150,2918.8502
151,2898.5219
152,2903.066
153,2905.6709
154,2926.6251
155,2940.532
156,2909.6047
157,2889.0777
158,2921.3094
159,2925.1306
160,2918.8702
161,2931.1201
162,2939.1574
163,2989.5623
164,3004.3095
165,2979.195
166,2970.0339
167,2980.6063
168,2969.9099
169,3011.6459
170,2988.3614
171,3000.9903
172,3052.6652
173,3095.9661
174,3050.2672
175,3023.5385
176,2994.7433
177,2972.066
178,2942.3886
179,2946.5452
180,2975.983
181,2976.83
182,2963.7779
183,2948.5425
184,2945.0228
185,2988.1955
186,2963.3738
187,2947.3288
188,2970.298
189,2962.7421
190,2929.2814
191,2960.1172
192,2973.8978
193,2958.8795
194,2939.2358
195,2949.6478
196,2942.3185
197,2929.6918
198,2957.7382
199,2981.4983
200,2932.2989
201,2887.5983
202,2834.5323
203,2811.9732
204,2839.1211
205,2554.3455
206,2478.4215
207,2343.2176
208,2327.3773
209,2218.0658
210,2183.2292
211,2129.938
212,2113.7583
213,2097.7279
214,1978.2806
215,1910.7015
216,1911.5813
217,1859.0098
218,1884.8686
219,1819.3709
220,1734.3518
221,1712.0121
222,1587.6745
223,1584.1012
224,1518.9771
225,1473.2165
226,1443.9527
227,1520.1291
228,1448.2874
229,1490.7836
230,1481.4668
231,1551.1078
232,1508.6438
233,1496.7525
234,1509.2617
235,1528.8926
236,1544.4834
237,1544.4621
238,1568.2401
239,1573.7439
240,1542.9475
241,1649.8898
242,1673.1579
243,1607.1698
244,1716.6006
245,1794.3996
246,1793.87
247,1845.8959
248,1896.1624
249,1816.2603
250,1792.7816
251,1807.0889
252,1867.1805
253,1840.5995
254,1793.8196
255,1888.5997
256,1870.7573
257,1822.2142
258,1715.9763
259,1845.8548
260,1767.3527
261,1766.2379
262,1834.0998
263,1833.0738
264,1736.1648
265,1781.0444
266,1847.2357
267,2018.7089
268,2080.2382
269,2141.3283
270,2242.9217
271,2173.8669
272,2080.1866
273,2220.9197
274,2263.4188
275,2217.7176
276,2309.1167
277,2313.494
278,2214.5402
279,2224.567
280,2153.0656
281,2180.3554
282,2286.1424
283,2308.7497
284,2226.8214
285,2310.2753
286,2235.6974
287,2193.8784
288,2182.5609
289,2217.7354
290,2201.1347
291,2243.8614
292,2276.4992
293,2276.4818
294,2306.3623
295,2358.8298
296,2224.3145
297,2230.1211
298,2205.5015
299,2255.7501
300,2260.1641
301,2365.2915
302,2458.7701
303,2446.0008
304,2456.3951
305,2443.3384
306,2409.7038
307,2460.4298
308,2530.5516
309,2531.9659
310,2496.7251
311,2635.8554
312,2669.0653
313,2595.6219
314,2648.4059
315,2667.5386
316,2744.7488
317,2732.9083
318,2692.0421
319,2618.695
320,2761.3275
321,2770.7744
322,2765.4219
323,2737.728
324,2722.9643
325,2665.0141
326,2655.8229
327,2501.8325
328,2523.0231
329,2511.8159
330,2536.418
331,2608.2193
332,2574.972
333,2635.2275
334,2703.7766
335,2719.7541
336,2724.1305
337,2712.9633
338,2577.1983
339,2528.4914
340,2546.6059
341,2631.5648
342,2716.3146
343,2786.4823
344,2808.8118
345,2815.7735
346,2812.4262
347,2896.0904
348,2858.0867
349,2905.3788
350,2920.6997
351,2959.6773
352,2965.3419
353,2909.0316
354,2949.1366
355,2964.9646
356,2966.2902
357,3027.6306
358,2981.2914
359,2998.3698
360,3017.5597
361,2948.2469
362,3055.4967
363,3062.4609
364,3063.9848
365,3146.6015
366,3187.0911
367,3143.9036
368,3095.4423
369,3090.6328
370,3052.7902
371,3042.501
372,3055.6797
373,3049.2298
374,3016.5844
375,3053.874
376,3064.6763
377,3067.8422
378,3046.7155
379,3085.574
380,3212.9121
381,3178.8037
382,3151.6857
383,3130.8843
384,3186.0468
385,3257.7826
386,3361.7133
387,3343.7739
388,3343.5594
389,3250.9209
390,3324.5159
391,3414.6338
392,3443.087
393,3424.7445
394,3543.8922
395,3495.6429
396,3427.4347
397,3443.4859
398,3484.2419
399,3440.6911
400,3460.2799
401,3617.8292
402,3600.6808
403,3578.8643
404,3618.1063
405,3613.0559
406,3626.5405
407,3695.8882
408,3620.441
409,3691.9971
410,3898.7982
411,3837.0256
412,3940.6422
413,4055.5238
414,4096.1742
415,4119.3984
416,4040.9106
417,4100.1566
418,4119.0556
419,4134.9732
420,4273.3849
421,4315.1117
422,4198.0922
423,4176.1967
424,4178.9755
425,4303.9855
426,4244.6642
427,4260.8211
428,4190.6422
429,4223.0048
430,4261.5592
431,4289.3326
432,4209.4463
433,4231.3019
434,4252.3202
435,4117.2973
436,4173.1844
437,4185.4581
438,4152.065
439,4193.6136
440,4310.9165
441,4327.4875
442,4195.5997
443,4396.7156
444,4443.7759
445,4489.6099
446,4476.4311
447,4604.5477
448,4569.125
449,4800.6444
450,4917.6316
451,4888.1368
452,4896.6108
453,4920.3282
454,4816.1221
455,4665.3661
456,4756.2335
457,4684.2065
458,4661.8713
459,4648.1632
460,4630.9845
461,4630.9434
462,4528.4735
463,4508.9146
464,4353.6228
465,4345.2492
466,4295.694
467,4413.6122
468,4373.2538
469,4370.4927
470,4430.7068
471,4462.3538
472,4584.1635
473,4601.9598
474,4565.6835
475,4591.8094
476,4582.9871
477,4488.6181
478,4432.6257
479,4539.7673
480,4621.6322
481,4592.7383
482,4736.2659
483,4670.7463
484,4660.5498
485,4676.8856
486,4740.9521
487,4569.8197
488,4447.0062
489,4523.9321
490,4556.9394
491,4495.7146
492,4564.3688
493,4610.1322
494,4657.5661
495,4688.9556
496,4637.9321
497,4566.4831
498,4462.8113
499,4412.4747
500,4500.0692
501,4478.0175
