# Seismic waveform · 100 Hz · 20 seconds · 2000 samples
# Synthetic teleseismic record · modelled on 2011 Tohoku Mw 9.1 (IRIS DMC)
# Boore & Atkinson (2008) Earthquake Spectra 24(1):99. doi:10.1193/1.2830434
# Events: pre-event noise | P-wave @5s | S-wave @8s | surface waves @12s
time_s,displacement_um
0.0,-0.009847
0.01,-0.001976
0.02,-0.012795
0.03,-0.007463
0.04,-0.014931
0.05,-0.014132
0.06,-0.016503
0.07,-0.002625
0.08,-0.000246
0.09,-0.003652
0.1,-0.002767
0.11,-0.005432
0.12,0.005739
0.13,-0.004857
0.14,-0.004906
0.15,0.000328
0.16,-0.003258
0.17,0.014122
0.18,5e-05
0.19,0.006474
0.2,0.010293
0.21,0.000478
0.22,0.006126
0.23,-0.002541
0.24,0.007962
0.25,0.003333
0.26,-0.005833
0.27,-0.007055
0.28,-0.000314
0.29,-0.004889
0.3,0.000255
0.31,-0.002361
0.32,1.3e-05
0.33,-0.005105
0.34,0.004838
0.35,-0.006209
0.36,-0.008175
0.37,0.003065
0.38,0.006316
0.39,-0.001279
0.4,-0.001748
0.41,0.01025
0.42,0.003881
0.43,0.010484
0.44,-0.001672
0.45,-0.002429
0.46,0.003216
0.47,0.000868
0.48,-0.00374
0.49,-0.01052
0.5,0.004419
0.51,0.005135
0.52,-0.003183
0.53,-0.000148
0.54,0.003309
0.55,0.001361
0.56,0.008016
0.57,0.001819
0.58,0.009852
0.59,-0.008089
0.6,0.009285
0.61,-0.001727
0.62,0.008313
0.63,0.006198
0.64,0.015431
0.65,-0.003
0.66,0.005775
0.67,0.008119
0.68,0.005415
0.69,0.001799
0.7,-0.004871
0.71,0.009384
0.72,0.007025
0.73,0.009827
0.74,-0.000178
0.75,0.004014
0.76,0.002594
0.77,0.003216
0.78,-0.009906
0.79,-0.0023
0.8,0.001053
0.81,0.010254
0.82,0.010692
0.83,-0.008087
0.84,-0.001127
0.85,0.003486
0.86,0.003786
0.87,0.011481
0.88,0.008154
0.89,0.003806
0.9,0.000982
0.91,0.01475
0.92,-0.006653
0.93,0.002638
0.94,-0.002188
0.95,0.000371
0.96,0.002335
0.97,0.008175
0.98,0.000461
0.99,-0.006655
1.0,0.002133
1.01,-0.005755
1.02,-0.001446
1.03,-0.006419
1.04,0.005443
1.05,-0.001645
1.06,0.003594
1.07,0.010131
1.08,0.008604
1.09,0.002638
1.1,0.000415
1.11,-0.000166
1.12,0.000909
1.13,0.005747
1.14,-0.001285
1.15,0.014202
1.16,0.002854
1.17,-0.009286
1.18,0.00172
1.19,-0.000445
1.2,0.002469
1.21,-0.010766
1.22,-0.001789
1.23,-0.007766
1.24,-0.001758
1.25,-0.001811
1.26,0.013464
1.27,-0.000662
1.28,-0.00846
1.29,-0.000268
1.3,0.007451
1.31,1e-06
1.32,-0.006423
1.33,-0.006106
1.34,0.001273
1.35,0.003205
1.36,0.012151
1.37,0.009716
1.38,0.003081
1.39,-0.009997
1.4,0.000737
1.41,0.004038
1.42,-0.00777
1.43,-0.001831
1.44,-0.005436
1.45,-0.013467
1.46,-0.008715
1.47,0.003665
1.48,0.00734
1.49,0.002649
1.5,-0.002145
1.51,-0.008191
1.52,-0.003377
1.53,-0.006417
1.54,0.004011
1.55,0.003067
1.56,-0.006721
1.57,-0.000893
1.58,0.006473
1.59,-0.006204
1.6,0.012619
1.61,0.006044
1.62,-0.001725
1.63,0.001681
1.64,0.002328
1.65,-0.001202
1.66,-0.001172
1.67,-0.006557
1.68,-0.006377
1.69,-0.001307
1.7,-0.003281
1.71,-0.002876
1.72,-0.008862
1.73,-0.002193
1.74,-0.005078
1.75,-0.001458
1.76,0.001311
1.77,0.00266
1.78,-0.002347
1.79,0.001375
1.8,0.008462
1.81,0.00833
1.82,-0.007385
1.83,0.009559
1.84,0.002103
1.85,-0.002848
1.86,0.000507
1.87,-0.005568
1.88,-0.000352
1.89,-0.004016
1.9,-0.001985
1.91,0.001943
1.92,0.001003
1.93,-0.007168
1.94,0.00319
1.95,-0.006206
1.96,-0.003343
1.97,-0.005159
1.98,-0.002196
1.99,0.003995
2.0,-0.004884
2.01,0.000592
2.02,0.005347
2.03,0.001947
2.04,-0.009546
2.05,0.00038
2.06,0.001847
2.07,9.8e-05
2.08,0.001744
2.09,-0.004248
2.1,0.006116
2.11,-0.005194
2.12,0.002239
2.13,0.007677
2.14,0.00171
2.15,-0.008675
2.16,0.002418
2.17,0.000937
2.18,-0.005023
2.19,-0.00034
2.2,0.006777
2.21,0.000426
2.22,-0.005382
2.23,0.006901
2.24,0.003641
2.25,-0.004469
2.26,0.006191
2.27,0.003263
2.28,-0.005632
2.29,0.001674
2.3,0.000432
2.31,0.001422
2.32,-0.006413
2.33,-0.014838
2.34,-0.007657
2.35,-0.008541
2.36,-8.7e-05
2.37,-0.015742
2.38,-0.002866
2.39,-0.002995
2.4,0.006983
2.41,-0.002999
2.42,0.000794
2.43,0.000565
2.44,-0.001403
2.45,0.000396
2.46,-0.000857
2.47,-0.003201
2.48,-0.00604
2.49,-0.001819
2.5,-0.003143
2.51,0.007847
2.52,0.004642
2.53,0.006624
2.54,0.002354
2.55,-0.004126
2.56,-0.003989
2.57,-0.002596
2.58,0.003561
2.59,-0.002725
2.6,-0.012429
2.61,-0.000622
2.62,0.006242
2.63,0.000335
2.64,-0.001081
2.65,0.004818
2.66,-0.002443
2.67,0.002789
