# Speech VCV token /a-t-a/ · 16000 Hz · 125 ms · 2000 samples
# Synthetic · modelled on TIMIT corpus (Garofolo et al. 1993)
# https://catalog.ldc.upenn.edu/LDC93S1
# Formants per Hillenbrand et al. (1995) JASA 97(5):3099. F1=768 F2=1333 F3=2534 Hz
# Events: vowel /a/ | stop closure | burst | vowel /a/ release
time_s,amplitude
0.0,-0.017186
6.3e-05,0.003307
0.000125,0.023176
0.000188,0.02914
0.00025,-0.022705
0.000313,0.003396
0.000375,-0.009781
0.000438,0.001501
0.0005,0.021971
0.000563,0.009164
0.000625,0.014422
0.000687,-0.016465
0.00075,-0.007402
0.000813,-0.038965
0.000875,0.006884
0.000937,-0.014446
0.001,-0.011887
0.001063,-0.051511
0.001125,-0.051616
0.001187,-0.063496
0.00125,-0.051625
0.001313,-0.03362
0.001375,-0.023854
0.001437,-0.00508
0.0015,0.05952
0.001563,0.130095
0.001625,0.176397
0.001687,0.182877
0.00175,0.14485
0.001813,0.069669
0.001875,0.017501
0.001937,-0.009541
0.002,-0.045676
0.002063,-0.061987
0.002125,-0.071049
0.002188,-0.081618
0.00225,-0.094022
0.002312,-0.058129
0.002375,-0.035719
0.002437,0.018672
0.0025,-0.004131
0.002563,0.00662
0.002625,0.003207
0.002688,0.020581
0.00275,0.022575
0.002812,0.014493
0.002875,-0.008959
0.002938,-0.00105
0.003,-0.016077
0.003063,0.013753
0.003125,-0.002528
0.003188,-0.007616
0.00325,-0.033768
0.003312,0.009796
0.003375,0.03355
0.003438,0.019935
0.0035,0.038429
0.003563,0.029461
0.003625,0.048093
0.003688,0.012004
0.00375,0.046981
0.003812,0.012864
0.003875,-0.018807
0.003938,-0.031932
0.004,-0.023026
0.004063,-0.015889
0.004125,-0.039476
0.004188,-0.035398
0.00425,-0.021565
0.004313,-0.029307
0.004375,-0.026875
0.004438,-0.007689
0.0045,-0.033957
0.004562,0.009156
0.004625,0.025353
0.004687,-0.012565
0.00475,0.006247
0.004812,0.039904
0.004875,0.033017
